Tax4fun2 beta
Wed Mar  8 23:31:36 2023
Unknown fraction (amount of otus unused in the prediction) for each sample:
BY1: 0
BY2: 0
BY3: 0
BY4: 0
BY5: 0
BY6: 0
BY7: 0.04878
BY8: 0
BY9: 0
BY10: 0
CH1: 0
CH2: 0
CH3: 0
CH4: 0
CH5: 0
CH6: 0
CH7: 0
CH8: 0
CH9: 0.00855
CH10: 0
CH11: 0
In.TC1: 0
In.TC2: 0
In.TC3: 0
In.TC4: 0
In.TC5: 0
In.TC6: 0.01064
In.TC7: 0.02381
In.TC8: 0
In.TC9: 0
In.TC10: 0
In.TC11: 0
LS10: 0
LS11: 0
LS1: 0
LS2: 0
LS3: 0
LS4: 0
LS5: 0
LS6: 0
LS7: 0.05263
LS8: 0.02857
LS9: 0.0274
QY10: 0.05556
QY11: 0
QY1: 0
QY2: 0
QY3: 0
QY4: 0
QY5: 0.00319
QY6: 0
QY7: 0
QY8: 0
QY9: 0
Ex.TC10: 0
Ex.TC1: 0
Ex.TC2: 0
Ex.TC3: 0
Ex.TC4: 0
Ex.TC5: 0
Ex.TC6: 0.00654
Ex.TC7: 0
Ex.TC8: 0
Ex.TC9: 0
Unknown fraction (amount of sequences unused in the prediction) for each sample:
BY1: 0.96875
BY2: 0.24279
BY3: 0.27644
BY4: 0.4351
BY5: 0.92548
BY6: 0.94952
BY7: 0.90625
BY8: 0.92067
BY9: 0.90625
BY10: 0.88462
CH1: 0.79087
CH2: 0.92788
CH3: 0.8726
CH4: 0.9375
CH5: 0.96875
CH6: 0.89183
CH7: 0.91587
CH8: 0.93029
CH9: 0.72115
CH10: 0.91827
CH11: 0.91346
In.TC1: 0.12019
In.TC2: 0.50481
In.TC3: 0.84135
In.TC4: 0.73558
In.TC5: 0.91346
In.TC6: 0.77644
In.TC7: 0.80288
In.TC8: 0.24279
In.TC9: 0.80769
In.TC10: 0.90625
In.TC11: 0.69231
LS10: 0.82933
LS11: 0.91346
LS1: 0.89904
LS2: 0.95192
LS3: 0.10577
LS4: 0.20913
LS5: 0.78846
LS6: 0.91346
LS7: 0.91346
LS8: 0.91827
LS9: 0.82933
QY10: 0.95913
QY11: 0.79327
QY1: 0.90625
QY2: 0.92308
QY3: 0.28365
QY4: 0.93029
QY5: 0.25
QY6: 0.9399
QY7: 0.93029
QY8: 0.91106
QY9: 0.8726
Ex.TC10: 0.8726
Ex.TC1: 0.92788
Ex.TC2: 0.94231
Ex.TC3: 0.25481
Ex.TC4: 0.94712
Ex.TC5: 0.78125
Ex.TC6: 0.26923
Ex.TC7: 0.81971
Ex.TC8: 0.8726
Ex.TC9: 0.79327
