Group	LD	LDH	SDH	LML	TML	LMD	TMD	RBC	HGB	HCT	MCV	MCH	MCHC	Body_weight	Heart_weight	Organ_index
LS	1.705 	4039.029 	179.416 	2462.1	1812.76	138.96	135.91	2.44	89	30.3	124.2	36.4	293	1.875	6.49	0.346133333
LS	1.597 	3918.516 	185.005 	2381.01	2449.01	95.93	91.75	2.22	83	27.5	129.1	37.1	298	1.756	5.69	0.324031891
LS	1.602 	4179.603 	180.615 	2613.22	1509.08	94.45	85.49	1.98	72	25.2	127.3	36.3	285	1.809	6.55	0.362078496
LS	1.786 	4311.700 	174.003 	2022.97	1823.26	99.07	140.18	2.31	81	26.1	129.4	38.3	304	1.961	8.56	0.436511984
LS	1.618 	4005.402 	174.544 	1910.18	1666.4	84.06	65.73	2.02	79	26.3	130.3	39.1	300	1.92	6.06	0.315625
BY	1.851 	5755.637 	210.118 	903.22	600.4	44.6	106.1	2.36	83	29	123.1	35.1	286	1.5	7.84	0.522666667
BY	1.783 	5961.206 	183.077 	1319.9	2063	139.2	86.6	2.63	90	34.8	124.4	36.3	290	1.239	5.78	0.466505246
BY	1.694 	4783.912 	189.633 	2326.94	1588.9	111.7	80.2	2.88	110	36	125	38.1	305	1.269	5.67	0.446808511
BY	1.742 	5203.582 	201.513 	1473.16	1930.7	91.2	115.7	2.71	104	34.2	123	38.2	300	1.18	3.61	0.305932203
BY	1.897 	5223.194 	211.728 	1887.18	1665.8	119.4	122.6	2.58	100	31.5	122.3	38.7	317	1.515	6.6	0.435643564
QY	1.676 	4789.834 	189.732 	1756.1	1772.7	101	116.7	2.21	90	28.8	130.6	40.7	312	1.496	4.81	0.321524064
QY	1.694 	4189.271 	178.110 	2126.6	2549.2	107.2	170.7	2.66	94	35.2	128.3	37.1	294	1.678	8.02	0.47794994
QY	1.800 	4839.501 	169.368 	1596.14	1916.2	107.6	95.9	2.78	95	33.2	119.6	34.1	286	1.61	5.99	0.372049689
QY	1.774 	4920.838 	183.078 	1122.6	975.1	65.2	123.8	2.59	99	34.3	120.1	36.2	299	1.378	5.29	0.383889695
QY	1.672 	4482.898 	171.612 	1387.1	1701.9	107.8	123.7	2.95	119	37.5	127.4	40.3	317	1.278	3.98	0.3114241
CH	2.529 	6162.014 	247.170 	1293.04	1952.1	103.5	109.7	2.67	97	31.6	118.5	36.3	306	1.401	6.11	0.436117059
CH	2.449 	4892.422 	254.331 	1622.22	1320.8	60.5	156.2	2.54	95	33.5	117.3	36.1	298	1.205	4.59	0.380912863
CH	2.049 	5163.424 	239.090 	1623.94	1928.7	52.9	135.9	2.39	87	28.5	119.4	36.4	305	1.109	4.56	0.411181244
CH	2.023 	5396.839 	255.810 	1310.6	1921.7	81.3	143.9	2.71	100	34.1	119.3	35.7	300	1.309	4.62	0.352941176
CH	2.214 	6124.473 	244.501 	895.28	1995.4	44.6	108.8	2.93	103	35.7	121.9	35.1	288	1.095	4.96	0.452968037
Ex-TC	1.440 	4082.787 	164.054 	1763.16	1719.6	82.8	93.1	3.06	105	35.7	116.7	34.4	294	1.04	3.76	0.361538462
Ex-TC	1.575 	4104.637 	157.980 	1719.42	1814.4	98.6	123.6	2.76	93	33.4	120.4	36.3	298	1.285	4.76	0.370428016
Ex-TC	1.714 	4725.260 	168.394 	1196.54	1251.4	68	150.1	2.26	90	29.1	128.8	39.8	309	1.213	4.14	0.341302556
Ex-TC	1.359 	4528.177 	178.752 	1498.02	2258.4	80.1	123.7	2.52	92	30.8	125.8	37.3	297	1.256	4.23	0.336783439
Ex-TC	1.727 	5107.354 	177.424 	1605.74	2316.3	103.1	137	2.58	94	32.2	125	36.4	291	1.297	4.12	0.31765613
In-TC	1.521 	6068.481 	222.166 	930.96	1405	67.9	111.7	2.2	141	31.3	142.5	64	450	1.085	3.4997	0.322552995
In-TC	1.364 	5908.756 	217.794 	1377.36	1418.9	116.7	104.3	2.31	152	35.2	130.7	56	429	1.075	3.2277	0.300251163
In-TC	1.667 	5735.645 	212.656 	1912.42	1969.9	83.5	111.9	2.93	179	39	133.4	61	458	0.8	2.4676	0.30845
In-TC	1.387 	5677.313 	244.378041	1921.1	1808.2	113.4	109.1	3.04	175	40.1	132.2	57.5	436	1.085	3.0263	0.278921659
In-TC	1.569 	6114.984 	243.0986718	2487.18	2092.8	113	99.7	2.1	137	29.3	139.8	65.2	467	0.955	3.1082	0.325465969
