variable	Group
In-TC1	In-TC
In-TC2	In-TC
In-TC3	In-TC
In-TC5	In-TC
In-TC6	In-TC
In-TC7	In-TC
In-TC8	In-TC
In-TC9	In-TC
In-TC10	In-TC
In-TC11	In-TC
Ex-TC1	Ex-TC
Ex-TC2	Ex-TC
Ex-TC3	Ex-TC
Ex-TC4	Ex-TC
Ex-TC5	Ex-TC
Ex-TC6	Ex-TC
Ex-TC7	Ex-TC
Ex-TC8	Ex-TC
Ex-TC9	Ex-TC
Ex-TC10	Ex-TC
BY1	BY
BY2	BY
BY3	BY
BY4	BY
BY5	BY
BY6	BY
BY7	BY
BY8	BY
BY9	BY
BY10	BY
CH1	CH
CH2	CH
CH3	CH
CH4	CH
CH5	CH
CH6	CH
CH7	CH
CH8	CH
CH10	CH
CH11	CH
LS1	LS
LS2	LS
LS3	LS
LS4	LS
LS5	LS
LS6	LS
LS7	LS
LS8	LS
LS9	LS
LS11	LS
QY1	QY
QY2	QY
QY3	QY
QY4	QY
QY5	QY
QY6	QY
QY7	QY
QY8	QY
QY9	QY
QY10	QY
