ID	Ex_TC1	Ex_TC2	Ex_TC3	Ex_TC4	In_TC1	In_TC4	In_TC6	In_TC8
Com_10005_pos	14824769.7	2033960.824	1478200.143	6369643.502	3310681.955	1000224.32	6720309.531	1943345.947
Com_10009_pos	3471166.669	5068077.85	21748076.95	6681943.305	678020.2246	3367102.093	540230.3028	316469.5164
Com_10037_pos	176124.9868	209194.7379	208505.2192	122720.6433	494969.6926	355122.4453	20412856.63	7870529.757
Com_10042_pos	690870.8103	665508.0785	878307.6149	412474.5265	23257335.75	588071.4914	1229002.732	1133126.986
Com_10066_pos	613257.2087	2162167.23	10656491.29	1543396.515	10058548.61	9814926.344	20345505.4	4946403.955
Com_10076_pos	2706030.806	15633245.2	1683066.624	2700547.072	3740607.857	5599630.946	4566737.266	1870451.727
Com_100_neg	176452723.9	19623816.17	19108554.57	69687129.23	13867140.64	13901983	51016889.62	186550847.7
Com_100_pos	2097436894	2582309425	2851183470	2183195958	6043787358	3210245201	3991735941	4117007890
Com_10102_pos	949523.8329	1125545.804	3898460.232	199862.5102	13093602.53	1410814.928	20199629.68	15305288.46
Com_1011_pos	39489346.18	8793291.563	38757685.05	6606553.301	6791825.061	7617318.097	14170181.04	9939445.332
Com_10129_neg	4274519.358	864462.0633	334523.4452	813768.016	146015.6782	102356.4409	179536.197	130185.2998
Com_1013_pos	18256618.06	51682727.58	28047486.15	7165406.421	6135355.848	5004586.48	9590073.409	6191811.974
Com_10155_pos	12571038.45	14067390.16	16397870.14	13226148.44	5748546.088	2250638.512	7402503.657	7493140.851
Com_1015_neg	25450196.69	85296299.27	104038110.9	13892574.67	72035022.42	60315190.43	147503254.9	94524509.5
Com_10171_pos	4453226.529	5633012.068	7736689.342	3737288.7	3944303.51	3471937.054	5356781.518	5162242.185
Com_1017_pos	3508306.014	7671454.453	82643553.95	2822828.204	434301405.2	90947855.99	309630481.7	134714284.5
Com_1019_pos	3155672.889	4570295.95	6271297.918	3096059.834	48743633.31	8071504.308	380094123.8	128649233.9
Com_10207_neg	37397.70074	38445.53756	63758.82061	39356.28861	104023.0735	88440.89232	72110.74402	2229611.886
Com_1020_neg	30146499.5	28871880.11	7781347.384	25831279.97	99646071.33	103591420.6	33485108.87	41118385.94
Com_10213_pos	3683260.612	15312869.05	4417990.384	5229958.503	1591037.132	3572017.626	2120608.409	3115280.942
Com_10215_pos	1929709.894	655937.5581	1608474.702	362265.9483	7361815.137	11240207.34	3557459.837	2132275.944
Com_1026_neg	8402894.402	17734377.5	59235935.33	20545926.85	3217105.3	3073032.131	12196611.65	4866766.509
Com_10270_pos	1807691.761	1581490.938	6884190.743	1864174.212	2926815.383	1578941.038	4510432.651	2109650.849
Com_10271_pos	2594174.126	1432863.818	8086373.081	1042844.867	18018975.33	4715891.647	19753661.31	11469079.33
Com_10273_neg	3251319.883	1385970.64	4430951.162	850801.5572	2499352.658	658018.5606	4546909.176	1175055.385
Com_10285_pos	2346037.03	7962301.033	13326002.31	3745204.075	21535092.47	6890066.842	19704632.35	2664772.38
Com_10293_pos	5061127.215	15147205.57	2205934.918	2217182.082	1358460.643	450693.6745	4398953.551	2743943.094
Com_1030_neg	392757.8409	152206.17	668647.624	73281.2001	9567087.414	3526393.128	152731591.2	6396738.289
Com_10314_neg	33961.59573	49816.67046	99796.08456	360767.5177	8153274.041	5062174.08	585521.5949	1315543.225
Com_10319_pos	1116796.73	4528017.773	241360.8814	399508.8297	796107.1428	11095302.27	474626.168	190730.7298
Com_10320_pos	1010466.96	1305371.676	4983967.626	938802.218	957545.19	789775.6458	5142478.378	17479591.81
Com_10343_pos	13547695.2	14466795.14	19964026.4	9356278.601	22220205.34	7923295.221	6998987.168	4652433.65
Com_10346_neg	273187.9111	353099.2211	380603.1195	258440.6326	8142668.427	1146225.034	5551806.031	1352323.068
Com_1034_pos	167487793.4	139567927.6	258262674.7	41306426.82	91434240.13	200664084.6	298910930.1	335119749.4
Com_10367_pos	907185.7733	1123844.795	2646036.488	4094560.927	15341977.63	8662592.424	19426448.73	7029773.719
Com_1038_neg	18099161.75	10802078.77	4669013.806	23965364.43	3561421.855	3040075.455	6035829.218	14887612.34
Com_103_pos	961040219.5	2763394.786	972759736.7	15611860.56	140134377.7	49876554.85	27711171.12	7655824.395
Com_10448_pos	2793265.775	5669670.692	20362803.17	3027805.557	10941493.5	5912595.858	15763339.94	11131732.04
Com_1044_neg	63655732.77	83257594.35	81350584.2	50483350.25	8686717.265	6328550.412	10796514.87	9308141.357
Com_1046_neg	37414336.67	74811291.27	19383099.74	89630988.19	3104989.852	1616232.443	9264566.859	4001802.044
Com_10479_pos	1501223.789	1584044.137	1647253.715	724867.9433	1882518.224	354408.869	3290255.201	1651491.686
Com_10480_pos	6458015.76	14698870.65	7698837.931	7876574.23	5217706.454	3504004.711	17614910.02	3768842.615
Com_104_pos	1654123685	542213983	1193469421	1573067779	44645662.05	78874301.14	68745306.74	369122321.7
Com_10514_pos	721113.2581	795102.9584	641550.5425	611351.6131	2045402.378	10741620.6	2669274.893	2226207.11
Com_10551_pos	2547102.122	713625.338	6080524.841	782560.2009	21538661.25	5650012.718	8190345.719	7169123.727
Com_10563_pos	6571959.667	6872952.301	732709.729	12457010.75	4789454.256	1627306.416	1311354.888	1143624.29
Com_1056_pos	264831670.6	223079453.4	185413311.8	232209597.4	14054006.78	7979689.726	31576348.59	15646462.17
Com_1057_pos	22837603.09	12444155.06	52612231.6	14720705.13	3254614.86	3034152.904	6782991.977	27712374.45
Com_10591_neg	123533.8701	131005.6129	178640.8606	116898.2631	7263205.079	4841888.527	2485641.409	931294.7376
Com_10605_pos	1544637.246	1027093.593	2866342.47	1180553.699	11488544.59	434996.9912	18742297.12	6233166.665
Com_10626_pos	1544056.887	6610551.503	1227660.433	1017125.058	18246464.38	2839947.614	18673191.93	13952820.38
Com_1062_pos	190722812.2	22857225.51	22710647.97	48169593.78	415190403	160992080.6	127668664.6	208213729.2
Com_10633_pos	13482364.69	1189107.943	9497729.522	2749590.341	21081557.58	3591436.953	16150274.72	6194329.044
Com_1064_neg	45261782.25	81859053.62	14471465.95	78635736.49	3709047.606	1920440.147	7465419.78	3952052.23
Com_10657_pos	806679.6514	777997.9897	820507.9039	695379.3939	17201490.46	2026796.244	18564700.82	9016887.301
