Name	In_TC1	In_TC4	In_TC6	In_TC8	QY1	QY2	QY4	QY5
"4-(2,3-dihydro-1H-indol-1-yl)-1-phenyl-1H-pyrazolo[3,4-d]pyrimidine"	3310681.955	1000224.32	6720309.531	1943345.947	786796.8158	4134509.805	6367290.874	537155.9373
Ethyl oleate	678020.2246	3367102.093	540230.3028	316469.5164	4195970.209	1699832.028	1036245.62	606482.1997
"2-cyclopropyl-9-fluoro-5H-chromeno[4,3-d]pyrimidine"	494969.6926	355122.4453	20412856.63	7870529.757	237529.0599	152936.353	188222.0045	195815.5942
"2,5-Furandicarboxylic acid"	23257335.75	588071.4914	1229002.732	1133126.986	1025600.234	455142.4805	2693602.052	947086.2451
Asp-Phe	10058548.61	9814926.344	20345505.4	4946403.955	3271626.621	1500473.033	3172164.457	2809134.339
PC (2:0/16:2)	3740607.857	5599630.946	4566737.266	1870451.727	1979766.756	640997.7018	2441966.273	2417548.823
o-Cresol	13867140.64	13901983	51016889.62	186550847.7	464724521.9	932196701.4	58223640.13	33906208.74
Indole-3-acrylic acid	6043787358	3210245201	3991735941	4117007890	738440132.1	143986390.9	1553994287	515327481.5
"2-(methylthio)[1,2,4]triazolo[1,5-a]pyrimidin-7-amine"	13093602.53	1410814.928	20199629.68	15305288.46	1213827.568	185668.4767	10204463.35	1010434.726
Bufalin	6791825.061	7617318.097	14170181.04	9939445.332	103761503.2	10973307.99	357780351.6	57634378.85
Benzyl 6-O-beta-D-glucopyranosyl-beta-D-glucopyranoside	146015.6782	102356.4409	179536.197	130185.2998	202147.4689	171474.0218	2364171.772	256680.8087
"16,16-Dimethyl prostaglandin A1"	6135355.848	5004586.48	9590073.409	6191811.974	18312528.8	41685411.87	357562439.6	13615947.25
"11(Z),14(Z),17(Z)-Eicosatrienoic acid"	5748546.088	2250638.512	7402503.657	7493140.851	7582021.042	9381910.716	7692303.69	9283927.908
N-Acetyl-D-alloisoleucine	72035022.42	60315190.43	147503254.9	94524509.5	11888862.51	7569232.417	12130285.97	11669107.01
L-Homocitrulline	3944303.51	3471937.054	5356781.518	5162242.185	9473000.646	15970542.22	6103541.301	3506594.055
"5,6-dimethoxy-2-(2-methoxyphenyl)-4H-chromen-4-one"	434301405.2	90947855.99	309630481.7	134714284.5	11961934.47	9555490.523	6322822.817	33596502.58
Thymine	48743633.31	8071504.308	380094123.8	128649233.9	4046741.133	850384.4937	72046515.7	4645132.924
FAHFA (20:3/22:5)	104023.0735	88440.89232	72110.74402	2229611.886	48827.18593	33432.23522	45733.97188	8167754.877
