Ex-TC-vs-QY	In-TC-vs-Ex-TC	In-TC-vs-QY
Com_1996_pos	Com_1119_neg	Com_341_pos
Com_2121_neg	Com_196_pos	Com_196_pos
Com_2684_pos	Com_537_neg	Com_591_pos
Com_14279_pos	Com_591_pos	Com_344_pos
Com_595_neg	Com_634_neg	Com_1683_neg
Com_855_pos	Com_341_pos	Com_241_neg
Com_127_pos	Com_344_pos	Com_490_neg
Com_3446_pos	Com_346_neg	Com_399_pos
Com_60_neg	Com_699_pos	Com_1119_neg
Com_793_pos	Com_1358_pos	Com_1358_pos
Com_9472_pos	Com_563_pos	Com_3442_pos
Com_8012_neg	Com_3006_pos	Com_61_pos
Com_454_neg	Com_3442_pos	Com_746_pos
Com_22796_pos	Com_746_pos	Com_942_pos
Com_14633_pos	Com_4836_pos	Com_6899_pos
Com_61_pos	Com_194_neg	Com_563_pos
Com_9168_pos	Com_681_pos	Com_2557_neg
Com_1532_neg	Com_333_pos	Com_25_pos
Com_152_pos	Com_25_neg	Com_4836_pos
Com_20573_pos	Com_261_neg	Com_693_pos
Com_16544_pos	Com_26_neg	Com_699_pos
Com_174_pos	Com_4534_neg	Com_2715_neg
Com_1044_neg	Com_154_neg	Com_146_pos
Com_399_pos	Com_662_pos	Com_648_neg
Com_785_neg	Com_1030_neg	Com_1567_neg
Com_5414_pos	Com_2557_neg	Com_311_pos
Com_1724_pos	Com_693_pos	Com_12674_neg
Com_1064_neg	Com_1155_neg	Com_2175_pos
Com_14301_pos	Com_976_neg	Com_5061_neg
Com_78_neg	Com_1780_neg	Com_634_neg
Com_2553_neg	Com_6899_pos	Com_10314_neg
Com_46_neg	Com_6266_neg	Com_1722_pos
Com_146_pos	Com_694_pos	Com_855_pos
Com_6195_neg	Com_1090_neg	Com_1644_neg
Com_8236_neg	Com_2221_neg	Com_3368_pos
Com_9257_pos	Com_1679_pos	Com_1640_neg
Com_1020_neg	Com_7_neg	Com_3534_pos
Com_136_pos	Com_5061_neg	Com_1679_pos
Com_31_neg	Com_1683_neg	Com_8000_pos
Com_605_pos	Com_352_neg	Com_8151_pos
Com_5740_pos	Com_2715_neg	Com_1961_neg
Com_1046_neg	Com_12553_pos	Com_12336_neg
Com_1015_neg	Com_3368_pos	Com_9611_pos
Com_1567_neg	Com_2072_neg	Com_154_neg
Com_18481_pos	Com_5765_pos	Com_261_neg
Com_677_neg	Com_342_pos	Com_3006_pos
Com_20680_pos	Com_10792_neg	Com_46_neg
Com_555_pos	Com_8151_pos	Com_10973_pos
Com_1261_neg	Com_7993_neg	Com_681_pos
Com_3731_pos	Com_747_pos	Com_5735_neg
Com_10343_pos	Com_1351_neg	Com_984_pos
Com_10009_pos	Com_241_neg	Com_1538_pos
Com_3655_pos	Com_1722_pos	Com_6266_neg
Com_4775_neg	Com_1644_neg	Com_3648_pos
Com_12_pos	Com_965_neg	Com_1832_pos
Com_2234_neg	Com_15097_pos	Com_3234_pos
Com_5974_neg	Com_4044_neg	Com_6122_neg
Com_763_pos	Com_9611_pos	Com_10979_neg
Com_1313_pos	Com_3534_pos	Com_10037_pos
Com_7277_pos	Com_643_pos	Com_7373_pos
Com_222_neg	Com_169_pos	Com_4743_neg
Com_5025_pos	Com_25_pos	Com_9818_neg
Com_65_pos	Com_6311_pos	Com_4775_neg
Com_7373_pos	Com_1832_pos	Com_15502_pos
Com_23052_pos	Com_1803_neg	Com_555_pos
Com_9338_neg	Com_2258_pos	Com_1803_neg
Com_1598_pos	Com_7484_neg	Com_194_neg
Com_1640_neg	Com_401_neg	Com_7484_neg
Com_3720_pos	Com_12336_neg	Com_4832_pos
Com_326_pos	Com_1817_pos	Com_10591_neg
Com_4363_pos	Com_9818_neg	Com_3009_neg
Com_42_neg	Com_5525_pos	Com_5332_pos
Com_28_pos	Com_12674_neg	Com_3257_neg
Com_590_pos	Com_490_neg	Com_2042_pos
Com_2534_neg	Com_11319_neg	Com_3314_neg
Com_490_neg	Com_1961_neg	Com_287_pos
Com_7536_pos	Com_1593_neg	Com_7696_neg
Com_13309_neg	Com_9988_pos	Com_4495_neg
Com_1145_pos	Com_10037_pos	Com_3627_pos
Com_1325_pos	Com_2042_pos	Com_3084_neg
Com_100_pos	Com_7817_neg	Com_9988_pos
Com_13775_pos	Com_15502_pos	Com_468_neg
Com_53_pos	Com_3648_pos	Com_12768_pos
Com_8450_pos	Com_311_pos	Com_2019_neg
Com_1068_pos	Com_3220_pos	Com_601_pos
Com_15216_pos	Com_53_neg	Com_53_neg
Com_2167_pos	Com_10979_neg	Com_1813_neg
Com_3476_pos	Com_7655_pos	Com_15097_pos
Com_5785_pos	Com_7085_pos	Com_170_pos
Com_1056_pos	Com_5616_pos	Com_7655_pos
Com_27682_pos	Com_3424_pos	Com_5081_neg
Com_1648_pos	Com_10874_neg	Com_17189_neg
Com_2607_pos	Com_4743_neg	Com_1155_neg
Com_1884_neg	Com_6339_pos	Com_1532_pos
Com_1097_neg	Com_12768_pos	Com_7678_pos
Com_7696_neg	Com_2426_pos	Com_1351_neg
