In-TC-vs-Ex-TC	In-TC-vs-QY	Ex-TC-vs-QY
LOC121109235	LOC101747821	LOC121113333
ARF5	LOC121109246	LOC121106515
NCAPH2	CALML3	LOC776463
IRF5	NET1	LOC121109244
CALML3	LRGUK	LOC121109239
NET1	LOC121109412	LOC121113360
LRGUK	IL2RA	LOC121113328
LOC121109412	CELF2	CLC2DL5
IL2RA	FAM107B	LOC121109243
CELF2	MEIG1	LOC121113331
FAM107B	LOC121108079	LOC121113330
SUV39H2	SEMA3A	LOC121109246
MEIG1	PHTF2	CD69L
LOC121108079	CCDC146	LOC121113363
SEMA3A	FBXL13	LOC430443
CCDC146	LHFPL3	PODXL
FBXL13	CDHR3	LOC121106462
LHFPL3	GTSE1	HIST1H2B7L4
EFCAB10	IL17REL	SSTR3
CDHR3	MOV10L1	LOC418303
GTSE1	WNT16	NHLH2
IL17REL	TFEC	C3orf30
MOV10L1	RASSF3	CD200R1L
WNT16	WIF1	GJA8
TFEC	TSPAN8	LOC101747234
LSMEM1	GLIPR1L	XK
SLC38A4	E2F7	TMEM47
RASSF3	PAWR	LOC121107640
WIF1	TSPAN19	GYG2
LOC112531553	LRRIQ1	GABRG3
RAB3IP	DUSP6	FHL2
GLIPR1	LOC100858183	UPF3A
GLIPR1L	LUM	ADPRHL1
LOC121107362	CFAP54	LOC121109116
TSPAN19	OC3	LOC107050336
LRRIQ1	ART4	SLC15A1
DUSP6	LOC121106462	OLFM4
LOC100858183	HIST1H2B8	LOC101748311
LUM	HIST1H2B7	THSD1
LTA4H	HIST1H4B	CCNA1
CFAP54	HIST1H101	SLC35F2
STRA8	HIST1H2BO	MMP7
OC3	LOC121106438	LOC112531594
ART4	TTC26	LOC101750591
HIST1H46L2	GBE	LOC121109028
HIST1H2B8	LOC417973	ART1L1
H2AFJ	CENPM	CCKBR
HIST1H101	FAM83F	FZD8
HIST1H2BO	GRAP2	PTCHD3
LOC121106438	CBX6	LOC101750112
PLBD1	DNAL4	LOC428417
TTC26	C22orf23	LOC420770
CENPM	UTS2RL	OVALX
TEF	SH3BP1	CDH10
FAM83F	MFNG	MC2R
DNAL4	SSTR3	MOS
CBY1	NCF4	NKAIN3
DMC1	SPIC	CRH
C22orf23	SVOPL	CA13
SH3BP1	RAB19	CA3A
MFNG	LOC121106531	CCN3
CRCBL	LOC100858131	ADCY8
NCF4	PTN	LYPD2
GLT8D2	MTPN	LOC101747995
SPIC	PKP2	LOC107052805
SVOPL	TUBA8B	LOC121109863
RAB19	LOC425137	THBD
LOC100858131	AKR1B10	PAX1
PTN	RERG	CYP1B1
PKP2	EPS8	SLC22A3
TUBA8B	BCAT1	SLC22A1
AKR1E2	ETNK1	STX11
LOC425137	C3AR1L	LOC121113169
AKR1B10	CASC1	NKAIN2
RERG	TTLL1	HTR1B
BCAT1	RIBC1	KHDRBS2
C3AR1L	WNT7B	LINC00954
CASC1	BCL2L14	MFSD2B
LOC101750972	PTHLH	SLC30A3
TTLL1	FOXM1	LOC100857686
KIAA1644	AICDA	TDRD6
RIBC1	MFAP5	C4orf45
FBLN1	OVSTL	ANXA10
BCL2L14	CD86	LOC422654
PTHLH	CNP1	KDR
ARHGEF5	PIANP	C4orf48
FOXM1	LAG3	LOC771804
AICDA	CD4	LOC100857206
MFAP5	CDCA3	LOC107049163
OVSTL	LRRC23	LOC121110779
CD86	C1S	LOC101749090
CNP1	EPHA1	CYP26B1
PIANP	FAM131B	LOC107049680
CDCA3	LOC418303	LOC430433
C1S	SPAG17	TNNI2
EPHA1	POLQ	MUC5ACL
RAP1GAP3	NHLH2	C1QTNF4
TMEM139	C3orf30	ACTC1
SPAG17	CCDC191	GJD2
SIDT1	CFAP44	TTC6
C3orf30	CD200R1L	BCL11B
CCDC191	DPT	LOC121113247
GRAMD1C	KIAA1524	LOC107049890
APOV1	TRAT1	LDB3
CFAP44	HJURP	MMRN2
DPT	ABHD10	RET
KIAA1524	LOC770026	LOC770890
HJURP	CD200L	STOX1
ABHD10	STX19	GDF10
LOC770026	ARL6	LOC107048987
CD200L	LOC396098	RBM44
EPHA3	GJA8	CXCR7
ARL6	VGLL3	S100B
LOC396098	ROBO1	FAM237A
VGLL3	SAMSN1	HOXD8
RBM11	LOC107051636	SLC38A11
SAMSN1	CYYR1	LOC424473
LOC107051636	CLIC6	LOC101751390
CYYR1	RUNX1	IL12RB2
N6AMT1	CHAF1B	LOC112532977
TIAM1	LCA5L	SCG2
GART	MX1	COL4A4
CLIC6	LOC101747234	LOC100857766
RUNX1	UBASH3A	MUC4
SETD4	RSPH1	RARRES1
LCA5L	CBSL	AADAC
IGSF5	AGPAT3	CRABP1
PCP4	ICOSLG	LOC100859848
MX1	EFHC2	TMC3
UBASH3A	DMD	PLIN1
RSPH1	PCYT1B	HSD11B2
CBSL	SLC51AL	SLC7A10
AGPAT3	RBBP7	CES1L2
ICOSLG	BMX	CES1L1
SYTL5	LOC121107640	MC1R
DMD	MXRA5	HYAL2
CXorf21	GYG2	LOC121106623
NR0B1	P2RY8	LOC121106625
BMX	LOC418667	LOC121106626
TLR7	PLCXD1	GBP
MXRA5	RP2	LOC121106680
CSF2RA	GABRG3	PCBP4
LOC418667	GABRA5	WNK2
PLCXD1	ATP10A	SHQ1
RGN	VWA3B	H1FOO
RP2	CRACDL	LOC107054467
GABRA5	TSGA10	PCDH1
GABRB3	NPAS2	SPINK7
VWA3B	IL18R1	LOC101749502
CRACDL	FHL2	SPOCK1
TSGA10	UPF3A	LOC101749540
NPAS2	ATP11A	LOC121106759
IL1R2	MYO16	LFNG
SLC9A2	LOC107050336	NPW
FHL2	TNFSF13B	IL9R
ATP11A	LOC107050476	DNASE1
MYO16	LOC431250	LOC121106813
TNFSF13B	GPR18	FZD10
LOC107050476	SLC15A1	WDR66
CLYBL	SLITRK6	RAD9B
LOC431250	RNF219	WSCD2
GPR18	BORA	CRYBB3
IPO5	OLFM4	SLC2A11L1
SLITRK6	TNFSF11	RTN4R
SCEL	ENOX1	LOC121106873
OLFM4	KCTD4	LOC107049644
TNFSF11	LCP1	LOC107050670
REG1A	HTR2A	LOC100859834
ENOX1	LOC101748311	LOC112531211
KCTD4	CKAP2	LOC121106953
LCP1	STOML3	LOC107049794
HTR2A	CCNA1	LOC107049548
CYSLTR2	CCDC169	MHCY2
CKAP2	DCLK1	LOC121106926
STOML3	FLT3	MHCY11
SERTM1	RASL11A	MHCY15
DCLK1	AMER2	LOC100859628
MTUS2	EXPH5	LOC121106939
RASL11A	RAB39A	MHCY12
AMER2	GUCY1A2	MHCY35
SACS	MMP27	MHCY32
EEF1AKMT1	MMP7	LOC121106920
EXPH5	YAP1	LOC107054697
RAB39A	C11orf70	BG-like-antigen-1
GUCY1A2	CEP126	LOC107050418
MMP13	ANGPTL5	LOC100858531
MMP27	PGR	LOC107049645
MMP7	SESN3	LOC100858315
YAP1	FUT4	LOC112531351
C11orf70	C11orf97	LOC121107070
CEP126	NOX4	LOC101748065
PGR	LOC121107448	BRINP1
FUT4	LOC121107447	ENG
C11orf97	CTSC	LOC427799
HEPHL1	ANKRD42	GALR2
NOX4	CCDC89	COPRS
LOC121107448	TENM4	SSTR2
LOC121107447	LOC101750591	FADS6
CTSC	LOC121109028	LOC107054771
ME3	MYO7A	LOC107054772
PRCP	CAPN5	NAA38
CCDC89	LOC107052453	TRIM50
TENM4	DNAJB13	CCLI5
THRSP	MOGAT2	PROCA1
CAPN5	FOLR1	CA4
WNT11	CCKBR	COL9A3
LOC107052453	MAP4	TCFL5
LOC107050420	ZBTB47	LOC121107336
ADAM15	CCDC13	TMEM74B
DNAJB13	MYL3	C20orf85
P2RY6	KIF9	LOC107054916
MOGAT2	CATH1	LOC771069
FOLR1	MYO1G	RBP7
CCKBR	VILL	PRLHRL
MAP4	NCAPG2	LOC117654556
GIMAP7L2	WDR60	LRRTM4
VIPR1	ARMC4	LOC121106472
ZBTB47	PTCHD3	SFN
CCDC13	LOC101750112	SESN2
