Geneid	BT1	BT2	BT3	BT4	BT5	CH1	CH2	CH3	CH4	CH5	HT1	HT2	HT3	HT4	HT5	LS1	LS2	LS3	LS4	LS5	LT1	LT2	LT3	LT4	LT5	QY1	QY2	QY3	QY4	QY5
CARMIL3	2.235	3.448	1.134	2.098	1.123	2.095	2.266	2.939	1.919	2.082	3.150	2.664	1.281	2.584	4.122	1.530	2.508	1.115	1.525	2.714	2.102	2.711	2.888	2.302	2.308	5.102	5.080	1.566	1.676	1.786
DHRS4	30.209	38.690	18.346	27.817	40.997	41.521	36.122	35.844	26.183	37.618	29.766	23.942	13.756	34.258	31.867	48.688	63.825	55.979	51.229	51.579	34.821	26.635	37.705	29.800	42.192	57.985	52.226	18.661	16.040	33.347
LOC121106805	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC121107380	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC121107381	0.000	0.154	0.000	0.043	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.063	0.032	0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.065	0.038	0.000	0.030	0.000	0.000	0.000	0.088	0.059	0.000
LOC121107383	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CLC2DL4	10.655	7.914	47.615	25.181	24.684	3.646	10.160	8.895	37.894	48.294	51.073	60.633	47.091	54.915	47.274	7.036	2.802	2.819	4.480	8.110	34.479	29.623	29.323	35.049	7.738	6.678	10.395	19.378	101.805	10.662
LOC121113333	1.359	2.491	3.370	2.548	3.038	1.280	1.890	1.826	4.906	3.046	63.505	56.539	21.602	8.051	7.886	3.937	0.106	1.671	0.638	3.777	4.530	3.344	1.717	2.416	1.265	18.039	18.847	2.085	48.480	3.548
LOC121106515	0.384	1.624	3.612	1.545	0.792	1.002	2.585	2.144	3.194	2.060	15.094	16.315	6.334	4.377	3.059	1.201	1.219	2.098	0.856	1.467	1.072	1.389	0.630	1.790	2.476	2.385	5.553	2.918	13.790	1.371
LOC776463	7.727	1.102	39.604	14.709	20.263	1.517	2.389	2.813	37.699	45.920	196.235	145.898	77.978	26.423	23.640	14.177	0.940	1.564	0.576	2.665	11.783	11.740	6.159	16.551	0.560	17.862	50.989	2.576	397.151	3.156
LOC121113327	4.939	10.751	26.361	11.542	8.316	8.389	24.471	17.769	20.278	10.341	36.489	29.371	13.257	21.491	19.739	13.617	10.537	9.828	10.127	10.864	13.722	12.673	11.799	15.258	15.373	10.281	15.189	30.766	65.653	14.383
LOC121113351	0.031	0.405	0.641	1.753	1.005	0.000	0.459	0.309	0.235	1.039	16.869	15.901	0.981	4.177	3.559	2.575	0.115	3.050	0.197	6.898	3.936	1.811	0.226	0.654	1.713	1.891	2.306	0.436	8.692	0.878
LOC121109244	1.141	1.407	3.226	2.943	2.319	0.342	1.274	1.464	3.579	4.478	20.992	13.098	12.879	4.957	4.136	1.633	0.843	0.680	0.390	2.414	3.827	1.512	2.437	4.278	2.705	1.929	2.663	2.460	45.830	5.189
LOC121109239	0.805	0.933	2.592	2.166	1.832	0.839	0.561	0.662	2.195	1.817	4.348	2.937	3.696	1.191	2.044	0.528	0.159	0.324	0.341	0.888	0.710	1.507	0.886	1.375	1.564	1.121	0.700	0.781	25.518	1.394
LOC112532872	8.819	5.196	34.571	19.525	18.567	2.009	4.043	3.666	26.737	29.327	73.964	38.148	144.258	36.468	30.534	4.937	0.471	2.330	1.009	2.400	19.874	19.708	16.209	21.978	5.607	2.026	4.907	5.530	95.263	6.793
LOC101747821	0.967	2.889	9.118	6.893	3.708	1.661	3.342	2.717	3.392	3.719	7.327	7.410	9.060	4.047	4.196	2.176	1.427	0.907	1.446	1.930	7.009	12.171	4.816	3.362	5.407	1.725	1.268	4.860	45.987	10.856
LOC121106485	6.376	11.554	24.966	13.233	4.117	5.977	12.055	9.385	14.986	5.505	16.426	11.463	11.938	20.377	16.444	8.323	5.119	7.157	8.015	3.916	8.662	8.356	7.157	9.402	6.556	4.006	4.629	15.361	25.331	5.990
LOC121113360	2.380	3.389	6.872	3.492	3.235	1.386	3.063	2.470	6.604	6.000	12.868	10.965	16.496	6.861	8.377	4.410	2.233	0.842	1.353	1.738	2.150	1.838	1.320	4.422	1.800	5.654	11.943	4.396	1.001	4.713
LOC121113328	2.124	2.689	12.960	6.142	4.957	2.152	4.107	3.232	9.312	10.223	12.745	14.170	28.254	7.854	7.300	3.260	1.203	2.234	1.484	1.492	3.169	2.674	1.873	6.054	2.553	0.353	3.418	3.456	107.842	5.706
CLC2DL5	7.234	9.510	15.191	13.113	12.239	6.034	10.455	9.554	14.315	10.238	19.008	20.374	11.489	11.283	11.758	9.256	4.752	6.208	6.872	7.410	9.188	9.932	7.147	9.849	9.582	5.471	4.446	13.992	56.845	14.192
LOC121109243	3.166	5.465	10.737	7.525	7.623	2.961	9.086	11.588	13.709	13.106	38.420	39.816	26.443	11.118	10.700	6.647	7.495	4.739	5.411	4.384	8.747	5.008	8.066	11.308	6.315	4.292	10.632	17.536	72.118	4.184
LOC121113331	4.582	7.107	11.785	5.117	5.151	3.186	6.228	5.301	8.066	8.310	27.550	18.237	12.590	7.631	6.440	6.555	3.242	3.736	2.842	6.761	5.242	5.670	3.911	5.482	8.523	3.695	5.753	9.623	82.660	4.738
LOC121113330	0.527	0.580	0.250	0.604	0.139	0.175	0.000	0.063	0.119	0.000	35.285	20.370	0.126	0.148	0.111	1.425	0.116	2.035	0.250	2.455	0.029	0.475	4.425	5.005	6.831	0.364	0.199	0.156	75.399	10.803
LOC121109246	0.000	0.000	0.000	0.152	0.000	2.466	0.574	0.126	0.000	0.000	0.144	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.320	0.116	0.000	0.000	0.000	0.000	0.000	0.000	1.669	0.314	0.000
LOC121109235	0.000	2.433	0.142	0.430	0.000	0.000	0.357	0.981	0.051	0.397	0.675	0.546	0.209	0.264	0.356	0.639	0.166	0.121	0.712	0.583	2.696	0.194	0.453	0.434	0.668	0.227	0.020	0.130	0.354	0.377
LOC107055489	12.027	17.811	27.658	15.756	14.153	8.639	4.121	8.541	9.859	8.104	26.149	23.921	15.160	13.152	13.045	3.387	2.467	4.072	3.841	5.403	6.660	12.651	13.373	12.220	8.954	5.184	2.858	29.457	35.742	6.651
CD69L	30.685	20.069	15.593	2.009	35.400	8.181	5.481	37.028	3.040	13.413	130.856	91.435	15.259	2.427	2.972	0.466	0.459	0.548	0.473	8.962	24.055	2.811	2.648	2.068	2.872	7.798	0.606	54.604	50.644	0.994
LOC121113329	8.496	7.792	9.551	4.086	12.218	3.173	2.776	5.850	3.991	7.357	11.180	10.527	2.382	4.451	4.098	3.600	2.777	4.271	3.935	3.328	4.471	3.638	6.502	4.300	4.163	3.809	3.294	9.996	17.541	3.281
LOC107049847	15.300	23.343	28.530	16.978	26.120	9.024	5.833	13.366	11.319	11.076	21.936	17.781	13.950	17.082	18.557	6.376	6.451	8.674	12.774	11.070	9.691	15.833	16.655	12.906	13.289	6.680	8.249	26.964	24.440	14.581
LOC121113363	1.881	2.728	4.197	1.665	0.956	1.209	0.886	3.750	2.099	2.813	8.032	7.548	0.983	6.593	7.484	0.000	0.000	0.000	0.207	0.398	0.637	0.234	0.736	1.095	0.860	2.135	1.177	7.340	3.741	1.688
LOC430443	0.657	1.047	1.605	0.469	0.439	0.737	0.339	3.176	1.304	1.807	5.733	5.393	0.439	3.629	3.967	0.000	0.000	0.000	0.073	0.176	0.211	0.099	0.242	0.638	0.532	1.165	0.520	4.383	1.258	0.807
GOLGB1	5.576	7.343	9.362	9.221	7.215	10.395	8.263	7.617	8.324	9.294	5.052	5.408	3.353	7.176	7.491	8.187	8.492	6.678	9.770	7.411	7.120	7.921	7.128	7.118	8.617	7.690	8.286	8.911	8.117	9.118
HCLS1	5.431	17.611	24.061	22.389	13.078	7.025	27.727	42.540	22.043	10.651	11.631	12.108	12.652	9.093	8.719	11.514	10.605	6.082	3.469	10.749	15.304	23.309	26.230	22.974	12.093	5.328	12.565	30.250	21.644	25.831
OR9Q1	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.110	0.115	0.029	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.069	0.000	0.054	0.000	0.000	0.000	0.159	0.160	0.000
NME6	4.175	5.913	6.949	6.830	6.008	10.922	9.394	9.433	9.827	8.417	10.839	9.742	11.027	6.940	6.685	9.194	9.006	9.442	7.262	7.372	9.912	7.874	8.694	10.322	8.207	6.695	9.111	9.282	7.267	6.164
RABL2A	3.340	8.420	6.158	8.634	2.282	6.787	9.214	10.101	9.819	5.131	27.182	20.371	21.882	7.900	5.468	6.118	4.570	3.727	4.705	6.911	6.345	21.845	9.697	14.135	6.455	1.328	8.998	22.896	14.986	11.738
ACR	0.000	0.234	0.570	1.035	0.000	0.000	1.306	1.286	0.761	0.141	1.307	2.690	2.363	1.101	1.013	0.186	0.133	0.077	0.228	0.330	0.725	1.783	0.232	1.392	0.396	0.208	0.715	2.493	2.624	0.219
ARSA	4.063	9.600	17.157	13.435	7.398	5.088	14.350	10.172	12.277	8.588	19.012	17.167	13.687	17.143	16.024	6.334	6.448	6.409	6.673	6.686	11.798	14.975	11.111	11.429	9.571	7.609	9.404	18.061	19.707	10.593
ACRL	0.000	0.000	0.000	0.000	0.316	0.000	0.081	0.285	0.108	0.000	0.000	0.000	0.223	0.084	0.504	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.058	0.060	0.000	0.000	0.000	0.000	0.000	0.000
SHANK3	3.554	3.940	10.920	10.580	2.756	2.556	6.687	3.231	6.917	4.559	18.317	13.152	10.108	11.540	11.778	3.595	3.907	4.716	4.057	6.514	5.480	5.993	4.441	5.354	3.429	4.978	4.692	12.391	12.779	3.858
LOC121109250	3.233	2.937	12.039	12.074	2.914	1.834	6.191	3.032	5.810	3.110	19.606	12.842	10.028	11.683	11.181	3.355	3.069	4.850	2.330	5.776	6.209	5.881	2.959	3.771	2.185	3.451	2.362	14.245	12.004	3.055
