In-TC-vs-Ex-TC	In-TC-vs-QY	Ex-TC-vs-QY
LOC121109246	LOC101747821	LOC121113333
HCLS1	LOC121113328	LOC121106515
ACR	HCLS1	LOC776463
ARF5	FAM107B	LOC121109239
DENND6B	SLC38A1	LOC121113360
IRF5	CPM	LOC121113328
STRIP2	MYRF	CD69L
IL15RA	KCNMB4	LOC121113363
GATA3	PTPRR	LOC430443
DCLRE1C	PHLDA1	FGL2
TMEM243	CSRP2	AVPR1A
PTPRZ1	LUM	PHLDA1
HELB	OC3	CSRP2
GRIP1	HIST1H2B7L4	LUM
BEST3	APOLD1	LOC121106462
MYRF	GBE	HIST1H110
KCNMB4	LOC417973	HIST1H4B
MYF5	GRAP2	MAFF
OC3	LOC101747255	LGALS1A
HIST1H46L6	BAIAP2L2	HMOX1
PLBD1	SOX10	TIMP3
GBE	LGALS1A	MYBPC1
LOC417973	SH3BP1	PARVB
GRAP2	MFNG	LOC418303
BAIAP2L2	CYTH4	GJA8
SOX10	RAC2	ICOSLG
SH3BP1	SSTR3	MAP7D2
MFNG	IL2RB	PRKX
CYTH4	CRCBL	LOC121107359
RAC2	MCM5	LOC121107687
CRCBL	MYBPC1	LOC100857117
RASD2	FAM180A	YAP1
MYBPC1	RECQL	ANGPTL5
LOC121106531	C3AR1L	LOC101748650
CACNA2D4	FOXM1	KLHL40
TUBA8B	CD4	GJC2
DERA	GNB3	LOC107052602
C3AR1L	CDCA3	MKX
ENDOUL	PTPN6	PTCHD3
PARVG	LOC418303	MASTL
PHF21B	TRBV6-5	FZD1
RHNO1	B3GAT1L	LOC395159
LAG3	CFAP44	ETV1
CD4	BOC	GADL1
GNB3	F5	TGM4
CDCA3	KIAA1524	CCK
TRBV6-5	TRAT1	SUSD5
LOC769174	LOC418423	SERPINB2
VTCN1	EPHA6	SERPINB5
MAB21L3	CD247	LOC121113073
GAP43	SAMSN1	IRX2
BOC	DONSON	GLIPR2
F5	MX1	COLEC12
TRAT1	CBSL	ABRA
EPHA6	VTCN1L	HAS2
CD247	CYBB	SCX
SAMSN1	MAP7D2	LOC107050437
DONSON	VEGFD	UGP2
KCNJ15	MID1	ENAH
MX1	P2RY8	ATF3
CYBB	LOC112531508	FOSL2
ACOT9	CSF2RA	CYP1B1
VEGFD	PLCXD1	FRMD1
MID1	LYGL	LOC121110362
P2RY8	C2orf40	LOC107056139
LOC112531508	ST6GAL2	TMEM200A
CSF2RA	LOC121107353	CENPW
PLCXD1	LOC121107359	VGLL2
LYGL	TNFSF13B	METTL24
LYG2	LOC121107687	POU3F2
IL18R1	LOC100857117	C3H6ORF163
C2orf40	GPR183	KBTBD11
ST6GAL2	LCP1	NEIL2
TNFSF13B	LOC101748311	EDA2R
DZIP1	CKAP2	APLN
EPSTI1	ALOX5AP	GABRE
LCP1	SKA3	GATD3AL2
CKAP2	ANGPTL5	LOC428714
ALOX5AP	PANX1	LOC100859304
RASL11A	NAALAD2	ANXA10
SKA3	LOC121107447	MAB21L2
SLN	PRCP	CXCL13L2
MTNR1B	IL18BP	SGMS2
NAALAD2	ADAM15	MAPK10
LOC121107447	P4HA3	JCHAIN
IL18BP	SERPINH1	UNC5C
LRTOMT	DGAT2	SOD3
FOLR3	ART1	FGFBP1
LOC121109083	CCKBR	MSX1
ADAM15	GIMAP8	ABLIM2
DGAT2	LOC429682	DRCC1
ART1	LOC120017337	SPON2
LOC428119	KLHL40	RNF212
LOC107052463	GJC2	CPXM1
ASB10	MYO1G	LOC430433
GIMAP8	PTCHD3	GIF
LOC429682	LOC428417	CYP1C1
LOC120017337	MASTL	BBOX1
NKTR	ENKUR	RASSF10
CCDC13	C10orf67	ABTB2
NBEAL2	ITGA8	LOC428870
MYO1G	ABCB1LA	TTC9
CRYGN	ADAM22	SMOC1
LARP4B	SAMD9L	GREM1
SELENOOL	COL1A2	LOC112532533
ENKUR	LOC395159	LTBP2
C10orf67	SCIN	BDKRB1
NSUN6	CDCA7L	CDKN3
ST8SIA6	MPP6	MDGA2
CUBN	RFTN1	SOUL
ABCB1LA	EOMES	LOC101747507
SAMD9L	CCR2	SRRL
SCIN	TGM4	LOC101748577
CDCA7L	CCK	LRMDA
EOMES	CX3CR1	LOC100857573
NPHP3	SUSD5	LOC423731
CCR2	TRANK1	GDF10
CDCP1	PPP1R17	ANKRD1
TRANK1	TARP	LOXL4
PPP1R17	EZH2	ARHGAP19
LRRFIP2	LOC121113115	KAZALD1
TARP	LOC121109601	FAM171B
EZH2	CD83	ITGAV
COL15A1	SERPINB1	LOC107048987
LOC121113115	SERPINB2	YBEY
LOC121113117	SERPINB5	HOXD8
LOC121109601	FAM105A	C1QL2
LOC121109604	SEMA5A	MARCO
LOC121113118	UPP1	DPP10
LOC101750341	IKZF1	TNFAIP6
LOC121109606	IFI6	PRRX1
STMND1	GLIPR2	SELE
SERPINB1	CDH19	NUF2
C2H5ORF22	CEP76	LAMC2
CDH10	ADCYAP1	PRG4
FAM105A	MOS	CYR61
INVS	PPP1R42	DDAH1
IFI6	SULF1	ST6GALNAC3
MBP	LY96	ARTN
AKAIN1	PAG1	SELENOP2
ADCYAP1	SLC7A7	CTH
TCF24	ODF1	TF
