Geneid	BJ1	BJ2	BJ3	BJ4	BJ5	CH1	CH2	CH3	CH4	CH5	HT1	HT2	HT3	HT4	HT5	LS1	LS2	LS3	LS4	LS5	LT1	LT2	LT3	LT4	LT5	QY1	QY2	QY3	QY4	QY5
CARMIL3	12.414	4.546	2.491	8.503	8.477	16.053	5.168	5.580	5.016	7.135	7.126	4.779	4.579	5.752	3.863	8.725	4.639	4.895	5.407	7.847	12.864	5.840	5.463	15.598	7.787	8.726	12.475	3.679	3.353	5.500
DHRS4	177.949	75.012	66.277	70.972	76.212	66.309	95.505	108.594	85.946	98.558	82.494	57.887	73.091	71.057	151.366	86.088	83.062	77.637	89.834	106.833	92.429	96.533	75.143	71.878	87.919	80.608	91.142	69.279	72.491	88.917
LOC121106805	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC121107380	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
LOC121107381	0.231	0.000	0.000	0.000	0.000	0.000	0.000	0.044	0.000	0.038	0.000	0.000	0.000	0.120	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.049	0.000	0.000	0.000	0.025	0.038	0.043
LOC121107383	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
CLC2DL4	20.472	10.941	18.597	15.647	29.063	11.569	7.875	10.449	22.315	37.595	24.904	20.442	31.804	27.712	7.495	8.301	9.766	6.022	9.653	6.141	21.466	24.111	17.586	26.640	9.231	11.205	16.263	8.413	33.326	16.528
LOC121113333	3.639	2.553	2.414	1.625	5.387	1.084	1.679	1.214	2.308	4.951	20.293	18.651	6.504	6.895	2.625	2.958	0.862	0.733	0.969	2.529	4.119	2.288	1.938	2.857	1.884	17.929	17.225	1.874	20.347	5.334
LOC121106515	1.168	1.731	1.099	0.984	2.131	1.386	2.399	3.578	2.562	2.583	5.811	5.664	3.698	2.837	1.565	1.215	1.798	0.874	1.556	2.097	0.448	1.131	1.180	2.236	2.641	4.816	6.937	1.727	8.120	1.843
LOC776463	10.024	2.016	13.438	11.991	33.930	4.179	1.384	1.174	13.097	66.364	32.559	42.485	45.073	15.712	6.637	8.512	1.287	2.645	1.979	1.803	8.965	10.350	9.555	19.860	1.837	29.508	73.274	2.923	154.534	2.889
LOC121113327	13.238	18.909	11.801	12.405	14.006	20.792	15.578	14.484	13.935	16.577	14.413	17.038	17.524	20.729	11.616	22.048	18.979	16.555	17.550	16.933	10.953	17.387	12.453	11.807	21.193	20.547	28.081	22.102	31.972	32.486
LOC121113351	1.415	0.484	0.250	1.221	1.605	0.352	0.632	0.309	0.293	1.357	5.144	3.694	1.306	5.575	3.182	4.636	0.297	4.137	0.242	6.356	5.576	2.087	0.700	0.559	2.537	3.533	3.411	0.713	4.263	2.401
LOC121109244	5.014	1.831	3.356	5.377	12.445	0.761	0.579	0.611	4.048	12.504	3.755	7.309	5.399	6.405	5.497	2.998	1.148	1.597	0.956	1.821	7.160	2.279	1.736	6.542	2.466	3.378	6.015	1.729	15.678	3.722
LOC121109239	2.725	0.836	0.789	1.923	3.614	0.304	0.355	0.107	1.269	1.694	1.049	1.564	2.627	1.018	1.638	0.848	0.176	0.470	0.502	0.825	0.278	1.240	0.677	1.813	2.218	0.986	1.995	0.582	7.369	1.634
LOC112532872	18.120	11.733	12.364	12.849	39.611	4.683	1.940	1.371	14.360	33.174	13.068	18.294	36.423	21.800	7.385	5.252	1.851	1.623	5.119	3.639	9.293	11.515	9.304	18.224	3.181	5.605	6.717	7.449	30.451	14.578
LOC101747821	3.076	3.038	1.818	4.351	2.082	1.456	0.624	0.698	1.079	2.239	3.337	2.124	2.944	1.067	1.526	3.073	1.434	1.150	1.183	1.979	2.933	4.925	1.814	1.453	1.578	0.559	3.417	0.681	14.711	4.313
LOC121106485	15.907	12.109	13.397	6.251	9.789	7.053	15.432	32.660	14.022	8.984	5.886	6.037	13.118	28.900	17.774	7.735	9.059	7.817	7.679	11.522	6.788	9.611	7.707	11.568	10.541	5.745	9.047	17.365	10.798	18.361
LOC121113360	14.655	7.498	2.858	3.889	6.718	2.346	1.986	3.887	4.677	8.164	3.972	3.873	7.320	4.204	3.711	5.371	2.712	1.682	3.135	2.566	1.203	1.117	1.119	5.889	1.465	7.124	7.323	1.874	0.674	7.025
LOC121113328	7.133	4.472	4.945	5.602	11.185	4.259	1.498	1.062	10.081	20.985	5.707	5.911	12.208	4.812	1.504	2.896	1.830	1.926	2.586	2.157	4.009	2.770	1.692	10.448	2.439	0.837	10.631	2.201	45.781	9.268
CLC2DL5	13.833	9.664	6.236	7.234	10.269	10.946	6.109	5.888	6.590	9.882	5.632	6.448	8.078	7.323	6.231	9.653	8.108	6.754	7.479	8.908	5.702	5.809	5.863	10.699	8.808	5.290	10.216	8.204	22.869	16.157
LOC121109243	8.109	6.918	4.066	5.141	8.382	11.147	4.396	4.241	8.197	17.671	20.107	17.125	12.889	9.108	2.904	8.178	9.502	6.933	10.070	5.356	7.432	4.455	5.560	9.832	7.088	8.074	11.069	10.463	19.696	7.153
LOC121113331	14.239	11.813	5.793	7.546	9.859	2.662	5.181	9.811	7.560	14.560	9.974	11.959	12.606	10.954	7.383	6.139	4.209	4.166	3.759	7.055	3.795	5.793	4.159	7.003	9.074	7.087	7.679	6.905	22.501	10.342
LOC121113330	0.256	0.175	0.113	0.460	0.492	0.059	0.040	0.039	0.081	0.067	3.557	5.759	0.080	0.000	0.069	1.242	0.172	1.032	0.082	1.777	0.031	0.330	1.806	1.740	5.606	0.188	0.177	0.066	12.843	3.645
LOC121109246	1.027	0.702	0.000	0.923	0.099	9.307	6.426	10.377	1.189	1.749	0.902	0.000	0.483	0.214	0.550	3.186	1.552	1.612	0.328	1.998	1.007	2.120	0.284	1.397	2.133	2.435	0.592	0.176	0.133	1.067
LOC121109235	0.255	0.050	0.040	0.061	0.193	0.402	0.086	0.307	0.115	0.406	1.388	1.468	1.313	0.228	0.195	0.049	0.184	0.204	0.029	0.329	0.134	0.141	0.227	0.341	0.168	0.537	0.105	0.732	0.142	0.189
LOC107055489	48.920	39.194	20.014	19.612	84.758	43.435	4.897	15.669	12.715	24.712	25.097	25.202	22.535	21.845	12.314	12.777	7.849	10.757	10.100	28.110	13.187	34.286	30.570	20.786	27.534	23.052	15.187	63.055	39.954	20.379
CD69L	16.941	17.449	11.801	1.847	36.687	134.109	3.265	7.951	2.558	73.630	177.553	306.573	31.448	5.290	2.810	0.843	0.762	0.950	1.080	34.854	47.243	6.351	5.014	1.887	9.066	25.396	2.536	67.556	43.809	6.588
LOC121113329	13.073	6.148	7.226	2.063	13.357	8.932	1.586	8.896	5.164	15.278	14.611	25.101	4.357	8.073	10.245	1.054	1.610	1.414	3.569	3.771	4.956	8.365	7.952	5.897	5.851	6.106	8.885	10.868	15.243	6.959
LOC107049847	38.470	30.914	23.545	19.312	60.750	48.461	6.231	14.416	15.180	27.071	17.564	21.638	14.547	31.172	24.032	13.162	9.262	10.177	18.142	28.420	11.152	39.311	27.938	18.660	21.683	19.716	20.841	33.387	29.142	52.473
LOC121113363	2.185	3.423	2.095	1.425	5.086	21.047	0.496	1.511	2.077	6.095	12.026	14.720	0.331	6.823	0.661	0.048	0.000	0.000	0.394	0.980	4.235	0.318	0.635	2.038	1.139	5.936	3.334	10.421	2.882	3.140
LOC430443	1.009	1.558	0.761	0.399	1.815	8.377	0.205	0.686	1.003	3.230	5.471	5.516	0.146	3.616	0.300	0.025	0.000	0.000	0.179	0.441	2.015	0.169	0.259	0.985	0.711	2.642	1.207	4.374	1.018	1.276
GOLGB1	1.305	2.779	3.534	4.040	3.038	7.081	2.532	2.039	3.919	6.256	2.146	2.901	2.691	2.288	1.981	2.884	3.332	2.734	2.980	2.305	2.638	2.346	2.592	3.659	2.452	4.564	4.157	2.749	3.199	2.878
HCLS1	8.482	13.659	3.771	5.233	4.272	10.508	2.523	4.995	5.036	7.123	1.831	1.865	1.703	2.226	2.525	2.836	3.621	6.382	4.836	2.771	4.689	3.882	4.618	4.531	3.012	5.587	3.722	4.213	3.976	5.032
