In-TC-vs-Ex-TC	In-TC-vs-QY	Ex-TC-vs-QY
LOC121113333	LOC112532872	ARF5
LOC121106515	IQUB	MCM10
LOC776463	CPED1	HIST1H4B
LOC112532872	AMIGO2	DMC1
CD69L	SRGAP1	GLT8D2
SHANK3	HIST1H2A4L3	PMCH
LOC121109250	MEI1	CGTL
STRIP2	ADSL	RAB19
CACNA2D1	CARD10	FOXM1
ARL8BL	ASCL1	A2ML1
IQUB	SOX5	CD86
CPED1	LDHB	CASR
AMIGO2	MPPED1	GPR162
SRGAP1	A2ML3	CDCA3
PPFIA2	CASR	USP5
SOCS2	CNP1	HJURP
CYP2D6	LRRC23	GART-B
MEI1	GSTK1	BACE2
CHADL	KEL	OTC
ADSL	LOC100859872	POLA1
CARD10	LOC418414	LOC121106447
ASCL1	CREG1	LOC107052718
PAH	BCL9	CRLF2
IGF1	EVA1C	LYG2
LDHB	GART-B	NPAS2
ETFRF1	PCP4	ACOD1
LRRC23	BACE2	BORA
GSTK1	SLC51AL	DIAPH3
KEL	LOC121106447	DHRS12
LOC100859872	LOC107052718	NEK3
HSD3B1	LOC418658	CKAP2
HAO2	SLC25A6	SGCG
SLC19A2	RAB20	SKA3
LOC418414	HS6ST3	GJB2
CREG1	DCT	MMP1
MAEL	LOC121106501	ADAM15
EVA1C	ACAT1	RRM1
CBR3	AQP11	LOC107052463
PCP4	ADAM15	HBE
NR0B1	HBE	MAP3K8
SLC51AL	HBBA	MKX
LOC121106447	HBE1	LOC101750112
LOC107052718	TAF10	ST8SIA6
LOC771012	TPP1	LOC121106513
RAB20	DLEC1	KIF15
DOCK9	ACAA1	KIAA0319
HS6ST3	ACBD7	F13A1
LOC112532134	OLAH	C5orf49
ZC3H12C	ABCB1LA	UBE2QL1
ACAT1	LOC121106513	IFI6
ENDOD1	ACAD11	NDC80
TAF1D	LOC121109702	XKR9
CAPN5	ID4	TERF1
SLCO2B1	F13A1	PKIA
KCNE3	ECI2	ATP6V0D2
HBE	CMBL	CFAP36
HBBA	SRD5A1	WDPCP
HBE1	FBXO15	JAG1
RRP8	CIDEA	DTL
TAF10	MYOM1	LOC107052935
TPP1	LPIN2	LOC107056139
AOC1	ABHD3	TAAR1
LOC112529948	LAMA3	TMEM200A
VIPR1	C8orf22	LOC421792
CHDSD	FAM110B	MMS22L
CATH3	MSC	ME1
CATH2	FABP4	RSAD2
CATH1	CA13	RRM2
DLEC1	NCALD	CGREF1
ACAA1	DCSTAMP	LOC770996
OTUD1	LOC121113091	PBK
ACBD7	CFAP36	CENPO
OLAH	LOC421232	LOC121110693
ABCB1LA	EHBP1	SLITRK4
PDK4	JAG1	CHRDL1
VWDE	TLR5	LOC107052719
HOXA2	QPCT	NEIL3
LRRC3B	GREM2	LOC430303
LOC101750511	SLC35F3	CENPE
ACAD11	SULT	CCDC110
AMPH	DACT2	PDGFRL
LOC121109702	MPC1L	UCHL1
IGFBP1	LOC421583	PROM1
ID4	FNDC1	BST1
PPP1R3G	LOC112532128	CC2D2A
ECI2	MCM9	SLBP
CMBL	LOC421740	TMED11
SRD5A1	HMGCLL1	SMYD1
LDLRAD4	FAM110C	GPX2
CIDEA	VSNL1	KNL1
TGIF1	DTNB	KIF18A
MYOM1	HADHA	USH1C
LPIN2	HADHB	SAA
ABHD3	LOC121110416	TRPM5
LAMA3	TDH	LRRC56
C8orf22	AvBD13	ACCS
MTFR1	CRISP2	NUSAP1
MSC	RHAG	SCG5
TRPA1	CYP2AC1	FLVCR2
FABP5	SUPT3H	BDKRB1
FABP4	RCAN2	ARMH4
CA13	ADGRF5	ATOH7
LAPTM4B	ARR3	DNA2
NCALD	LOC121110693	IFIT5
DCSTAMP	SLC16A2	CYP17A1
FAM84B	IDS	SFR1
NDRG1	LOC107052719	GSTO2
RHPN1	ETNPPL	LOC121111296
LOC121113091	ARHGEF38	LOC768589
LOC421232	ACSL1	CDCA7
CAPN13	AREG	SPC25
EHBP1	GPAT3	VIL1
